"pid7","s10","c2","c4","c8","roots"
2,"Puerto Ric","Very favor","Very favor","Not famili","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Very favor","Somewhat f","Non-Communist"
4,"Dominican","Very favor","Somewhat u","Very favor","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
1,"El Salvado","Very favor","Very favor","Somewhat f","Non-Communist"
3,"Dominican","Very favor","Very unfav","Not famili","Non-Communist"
1,"Mexico","Very favor","Somewhat u","Very favor","Non-Communist"
6,"Cuba","Somewhat u","Very unfav","Somewhat u","Communist"
1,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Somewhat u","Very favor","Somewhat f","Non-Communist"
4,"Spain / Sp","Somewhat f","Somewhat f","Not famili","Non-Communist"
6,"Mexico","Very unfav","Very unfav","Very favor","Non-Communist"
6,"Mexico","Somewhat f","Very unfav","Very unfav","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
2,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
4,"Mexico","Somewhat u","Very unfav","Somewhat f","Non-Communist"
3,"Mexico","Very unfav","Very unfav","Very favor","Non-Communist"
1,"Dominican","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
3,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Somewhat u","Somewhat u","Not famili","Non-Communist"
6,"Mexico","Somewhat u","Very unfav","Somewhat u","Non-Communist"
3,"Guatemala","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Puerto Ric","Very favor","Very favor","Somewhat f","Non-Communist"
1,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Dominican","Very favor","Somewhat f","Somewhat u","Non-Communist"
2,"Dominican","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat u","Somewhat f","Non-Communist"
3,"Other coun","Very favor","Somewhat f","Somewhat f","Non-Communist"
6,"Mexico","Very unfav","Somewhat u","Somewhat u","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
3,"Honduras","Very favor","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Somewhat u","Somewhat u","Somewhat u","Non-Communist"
1,"Ecuador","Very favor","Somewhat u","Very favor","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat f","Somewhat u","Non-Communist"
1,"Guatemala","Very favor","Very favor","Very favor","Non-Communist"
4,"Puerto Ric","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
5,"Spain / Sp","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
2,"Dominican","Somewhat f","Somewhat f","Very favor","Non-Communist"
3,"Colombia","Very favor","Somewhat u","Very favor","Non-Communist"
6,"Guatemala","Very unfav","Very unfav","Not famili","Non-Communist"
1,"Other coun","Very favor","Very favor","Very favor","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat u","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Spain / Sp","Very favor","Very favor","Not famili","Non-Communist"
7,"Spain / Sp","Somewhat u","Very unfav","Very favor","Non-Communist"
4,"Other coun","Somewhat u","Somewhat u","Very favor","Non-Communist"
1,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
6,"Cuba","Somewhat u","Very unfav","Very unfav","Communist"
7,"Mexico","Very unfav","Very unfav","Very unfav","Non-Communist"
3,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Puerto Ric","Very unfav","Very unfav","Very favor","Non-Communist"
5,"Spain / Sp","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Puerto Ric","Very favor","Very favor","Very favor","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
6,"Puerto Ric","Somewhat f","Very unfav","Somewhat f","Non-Communist"
6,"Mexico","Very unfav","Somewhat u","Somewhat f","Non-Communist"
2,"Mexico","Somewhat u","Somewhat u","Somewhat u","Non-Communist"
2,"Argentina","Somewhat f","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Somewhat u","Non-Communist"
5,"Peru","Very favor","Somewhat f","Somewhat u","Non-Communist"
4,"Puerto Ric","Not famili","Not famili","Not famili","Non-Communist"
4,"Mexico","Somewhat f","Very unfav","Somewhat f","Non-Communist"
2,"Argentina","Somewhat f","Somewhat f","Very favor","Non-Communist"
4,"Puerto Ric","Somewhat u","Somewhat u","Somewhat u","Non-Communist"
2,"Puerto Ric","Somewhat u","Very favor","Not famili","Non-Communist"
4,"Mexico","Not famili","Not famili","Somewhat f","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Costa Rica","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat u","Somewhat u","Non-Communist"
3,"El Salvado","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Venezuela","Somewhat f","Somewhat f","Not famili","Communist"
6,"Mexico","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
3,"Mexico","Very favor","Very unfav","Very favor","Non-Communist"
1,"Colombia","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Puerto Ric","Very favor","Very favor","Very favor","Non-Communist"
2,"Other coun","Very favor","Somewhat u","Very favor","Non-Communist"
2,"Mexico","Very favor","Somewhat u","Very favor","Non-Communist"
4,"Puerto Ric","Somewhat f","Somewhat u","Somewhat u","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
6,"Ecuador","Somewhat f","Somewhat u","Very favor","Non-Communist"
4,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat u","Not famili","Non-Communist"
2,"Mexico","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
4,"Argentina","Very favor","Very unfav","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Somewhat u","Non-Communist"
4,"Mexico","Very unfav","Very unfav","Not famili","Non-Communist"
3,"Mexico","Very favor","Somewhat u","Somewhat u","Non-Communist"
6,"Guatemala","Somewhat u","Very unfav","Somewhat u","Non-Communist"
5,"Spain / Sp","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat u","Somewhat u","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
4,"Dominican","Somewhat u","Somewhat u","Very favor","Non-Communist"
3,"Colombia","Very favor","Somewhat u","Not famili","Non-Communist"
3,"Argentina","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
2,"Mexico","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Somewhat u","Not famili","Non-Communist"
4,"Mexico","Very unfav","Very unfav","Somewhat f","Non-Communist"
4,"Puerto Ric","Very favor","Not famili","Not famili","Non-Communist"
3,"Mexico","Somewhat f","Somewhat f","Not famili","Non-Communist"
4,"Mexico","Very favor","Very favor","Very unfav","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
7,"Dominican","Very favor","Very unfav","Somewhat f","Non-Communist"
4,"Puerto Ric","Not famili","Not famili","Not famili","Non-Communist"
4,"Mexico","Very favor","Very favor","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
2,"Puerto Ric","Very favor","Very favor","Somewhat f","Non-Communist"
5,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
2,"Ecuador","Very unfav","Very favor","Somewhat u","Non-Communist"
4,"Dominican","Very favor","Somewhat f","Somewhat u","Non-Communist"
1,"Puerto Ric","Very favor","Very favor","Not famili","Non-Communist"
3,"Venezuela","Somewhat f","Somewhat f","Somewhat u","Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Puerto Ric","Somewhat f","Somewhat f","Very unfav","Non-Communist"
2,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
2,"Colombia","Very favor","Somewhat f","Somewhat f","Non-Communist"
1,"Cuba","Very favor","Very favor","Very favor","Communist"
1,"Honduras","Very favor","Somewhat f","Very favor","Non-Communist"
2,"El Salvado","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
2,"Colombia","Very favor","Somewhat f","Somewhat f","Non-Communist"
4,"Venezuela","Somewhat f","Somewhat f","Very favor","Communist"
4,"Puerto Ric","Somewhat u","Very unfav","Somewhat f","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
3,"Spain / Sp","Somewhat u","Somewhat u","Somewhat u","Non-Communist"
1,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
3,"Other coun","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat f","Somewhat u","Non-Communist"
2,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat u","Very favor","Non-Communist"
4,"Mexico","Not famili","Not famili","Very favor","Non-Communist"
7,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
4,"Mexico","Somewhat f","Very unfav","Somewhat f","Non-Communist"
2,"Venezuela","Very favor","Very favor","Not famili","Communist"
6,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
4,"Mexico","Somewhat u","Very unfav","Very favor","Non-Communist"
2,"Cuba","Very favor","Somewhat f","Somewhat f","Communist"
1,"Puerto Ric","Not famili","Very unfav","Somewhat u","Non-Communist"
2,"Dominican","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Venezuela","Somewhat f","Somewhat u","Somewhat u","Communist"
2,"Cuba","Very favor","Somewhat f","Very favor","Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
6,"Cuba","Very favor","Somewhat f","Not famili","Communist"
2,"Cuba","Very favor","Somewhat u","Not famili","Communist"
3,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
6,"Puerto Ric","Very unfav","Very unfav","Very unfav","Non-Communist"
2,"Dominican","Very favor","Very favor","Somewhat u","Non-Communist"
1,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
4,"Spain / Sp","Somewhat f","Somewhat f","Not famili","Non-Communist"
6,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
1,"Mexico","Somewhat f","Very favor","Very favor","Non-Communist"
4,"Other coun","Somewhat u","Somewhat u","Not famili","Non-Communist"
6,"Mexico","Somewhat f","Very unfav","Somewhat f","Non-Communist"
4,"Other coun","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
5,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
2,"Mexico","Very favor","Very favor","Not famili","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Very favor","Not famili","Non-Communist"
2,"Mexico","Very favor","Somewhat u","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Somewhat u","Very favor","Non-Communist"
1,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
7,"Dominican","Somewhat u","Very unfav","Somewhat f","Non-Communist"
1,"Mexico","Somewhat u","Somewhat f","Somewhat u","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
5,"Mexico","Very favor","Somewhat u","Not famili","Non-Communist"
6,"Dominican","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
3,"Venezuela","Very favor","Somewhat f","Somewhat u","Communist"
6,"Mexico","Somewhat f","Somewhat u","Not famili","Non-Communist"
6,"Mexico","Somewhat u","Very unfav","Not famili","Non-Communist"
4,"Colombia","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
4,"Mexico","Somewhat f","Somewhat u","Not famili","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
6,"Mexico","Somewhat f","Very unfav","Somewhat f","Non-Communist"
4,"Spain / Sp","Very favor","Somewhat u","Somewhat u","Non-Communist"
7,"Mexico","Very unfav","Very unfav","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Not famili","Non-Communist"
7,"Mexico","Very unfav","Very unfav","Somewhat u","Non-Communist"
6,"Mexico","Very favor","Somewhat u","Somewhat f","Non-Communist"
7,"Mexico","Very unfav","Very unfav","Very favor","Non-Communist"
1,"Colombia","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
6,"Mexico","Somewhat u","Very unfav","Somewhat f","Non-Communist"
2,"Mexico","Somewhat f","Very favor","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
1,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Mexico","Very unfav","Very unfav","Very unfav","Non-Communist"
2,"Colombia","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Not famili","Non-Communist"
6,"Mexico","Very unfav","Very unfav","Somewhat u","Non-Communist"
3,"Mexico","Very favor","Somewhat u","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Somewhat u","Very favor","Non-Communist"
3,"Venezuela","Very favor","Somewhat f","Somewhat f","Communist"
5,"Mexico","Very favor","Somewhat u","Somewhat f","Non-Communist"
1,"Dominican","Very favor","Very favor","Not famili","Non-Communist"
2,"Puerto Ric","Not famili","Somewhat u","Not famili","Non-Communist"
1,"Mexico","Very favor","Very favor","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
2,"Puerto Ric","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Cuba","Somewhat u","Somewhat u","Somewhat u","Communist"
3,"Puerto Ric","Very favor","Very favor","Not famili","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
6,"Mexico","Very unfav","Somewhat u","Not famili","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
2,"Nicaragua","Very favor","Somewhat f","Not famili","Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
6,"Cuba","Very favor","Very unfav","Somewhat f","Communist"
4,"Mexico","Very favor","Somewhat u","Somewhat f","Non-Communist"
3,"Cuba","Somewhat f","Somewhat f","Somewhat u","Communist"
4,"Puerto Ric","Very unfav","Very unfav","Somewhat f","Non-Communist"
3,"Mexico","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
3,"El Salvado","Very favor","Very favor","Somewhat u","Non-Communist"
1,"Spain / Sp","Very favor","Very favor","Very favor","Non-Communist"
1,"Puerto Ric","Very favor","Very favor","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Somewhat u","Very favor","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
2,"Mexico","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Somewhat u","Very unfav","Somewhat u","Non-Communist"
4,"Peru","Somewhat f","Very unfav","Somewhat f","Non-Communist"
1,"Uruguay","Very favor","Very favor","Very favor","Non-Communist"
1,"Bolivia","Very favor","Very favor","Very favor","Non-Communist"
6,"Mexico","Very favor","Very unfav","Somewhat f","Non-Communist"
4,"Spain / Sp","Somewhat f","Somewhat u","Very favor","Non-Communist"
3,"Mexico","Very favor","Somewhat u","Somewhat f","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Very favor","Very favor","Not famili","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Very favor","Non-Communist"
5,"Mexico","Somewhat u","Very unfav","Somewhat u","Non-Communist"
4,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
4,"Mexico","Somewhat u","Very unfav","Very favor","Non-Communist"
4,"Spain / Sp","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Mexico","Somewhat f","Very favor","Not famili","Non-Communist"
4,"Mexico","Not famili","Not famili","Not famili","Non-Communist"
4,"Mexico","Somewhat f","Somewhat u","Somewhat f","Non-Communist"
4,"Honduras","Somewhat f","Very unfav","Not famili","Non-Communist"
4,"Puerto Ric","Very unfav","Very unfav","Very unfav","Non-Communist"
4,"Other coun","Somewhat u","Very unfav","Somewhat u","Non-Communist"
4,"Colombia","Very favor","Somewhat f","Very favor","Non-Communist"
5,"Mexico","Somewhat f","Very unfav","Not famili","Non-Communist"
1,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
1,"Puerto Ric","Very favor","Very favor","Somewhat f","Non-Communist"
1,"Mexico","Very favor","Somewhat f","Somewhat u","Non-Communist"
4,"Mexico","Very unfav","Somewhat f","Somewhat f","Non-Communist"
2,"Dominican","Somewhat f","Somewhat f","Somewhat f","Non-Communist"
4,"Spain / Sp","Somewhat u","Somewhat f","Very unfav","Non-Communist"
2,"Venezuela","Very favor","Somewhat f","Very favor","Communist"
2,"Mexico","Somewhat f","Not famili","Somewhat f","Non-Communist"
2,"Panama","Very favor","Somewhat f","Very favor","Non-Communist"
1,"Cuba","Somewhat f","Somewhat f","Somewhat f","Communist"
4,"Mexico","Not famili","Very unfav","Somewhat f","Non-Communist"
4,"Puerto Ric","Very favor","Somewhat f","Not famili","Non-Communist"
4,"Puerto Ric","Somewhat u","Somewhat u","Somewhat u","Non-Communist"
2,"Colombia","Very favor","Very favor","Somewhat f","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Somewhat f","Non-Communist"
7,"Dominican","Very favor","Somewhat u","Somewhat f","Non-Communist"
3,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
2,"Mexico","Very favor","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Somewhat f","Somewhat f","Very favor","Non-Communist"
4,"Mexico","Very favor","Very favor","Very favor","Non-Communist"
6,"Mexico","Very favor","Somewhat f","Not famili","Non-Communist"
